,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0,Miracle,CHVRCHES,Love Is Dead,5dj2UjtSxuKGlb17Bzu1mL,3lQSzRo5BkodChgpBOomvv,0,2018-05-25,188252,False,https://open.spotify.com/track/3lQSzRo5BkodChgpBOomvv,0.577,0.791,5,-3.054,1,0.0316,0.0116,0.0,0.179,0.431,124.013
1,19-2000 - Soulchild Remix,Gorillaz,The Singles Collection 2001-2011,3EqJvDO7ffoOKV9da4LvSq,2EC2GG0fHeWJ6uhAAHdMGl,41,2011-11-21,209387,False,https://open.spotify.com/track/2EC2GG0fHeWJ6uhAAHdMGl,0.673,0.897,0,-3.986,1,0.0512,0.194,0.0,0.299,0.892,102.045
2,Castle on the Hill,Ed Sheeran,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,6PCUP3dWmTjcTtXY02oFdT,81,2017-03-03,261154,False,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007
3,Same Old Blues,Phantogram,Three,0NQ6Dn9si4mgFKoRoBGkn8,28iw1FqJf6Vnfl2Fcu9rBh,44,2016-10-07,211093,False,https://open.spotify.com/track/28iw1FqJf6Vnfl2Fcu9rBh,0.581,0.706,6,-3.338,0,0.0293,0.0688,1.99e-06,0.309,0.23,122.053
4,Good Grief,Bastille,Wild World (Complete Edition),1qKjUIVG8KmtYceDBWjfqE,1oxOiOjsi7plNOZEhoPLPj,64,2016-09-09,206493,False,https://open.spotify.com/track/1oxOiOjsi7plNOZEhoPLPj,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041
5,Put Your Money On Me,The Struts,Everybody Wants,7iLnNik9W0ttekJblYrVfj,76AwsOtk3SePQ8h9kB2pmW,46,2016-03-04,213853,False,https://open.spotify.com/track/76AwsOtk3SePQ8h9kB2pmW,0.565,0.905,5,-3.575,0,0.057,0.00101,0.0,0.325,0.684,126.011
6,Wherever I Go,OneRepublic,Wherever I Go,5Chom5Q2CLEqUjdSdroG0K,0KdwmtG44yIDpyie4b0jCn,0,2016-05-13,170213,False,https://open.spotify.com/track/0KdwmtG44yIDpyie4b0jCn,0.553,0.703,10,-6.414,0,0.0439,0.105,0.0,0.21,0.33,100.006
7,HandClap,Fitz and The Tantrums,HandClap,2nOO9dl8EVj6zhkis2QHr9,0y3fi7fknIXOxnkbUgzT3n,47,2016-03-25,193173,False,https://open.spotify.com/track/0y3fi7fknIXOxnkbUgzT3n,0.633,0.833,8,-3.001,1,0.043,0.00615,0.000148,0.0827,0.693,139.963
8,Fireproof,Coleman Hell,Fireproof,7vHGm6poG0BOBCl7vCMcpJ,695FEfzHdEkR12jTpnznlj,27,2016-04-29,171000,False,https://open.spotify.com/track/695FEfzHdEkR12jTpnznlj,0.689,0.762,5,-4.22,0,0.092,0.0122,5.48e-06,0.0941,0.769,128.067
9,Bad (feat. Vassy) - Radio Edit,"David Guetta, Showtek, VASSY",Listen (Deluxe),3UEEPh5wsdhP7SKC31yvhu,06dT0EYXrhRQV1MsvWhNGv,54,2014-11-24,170625,False,https://open.spotify.com/track/06dT0EYXrhRQV1MsvWhNGv,0.614,0.972,5,-3.927,0,0.088,0.00125,0.0186,0.328,0.411,127.966
10,You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),6WgGWYw6XXQyLTsWt7tXky,0qxYx4F3vm1AOnfux6dDxP,77,1986-08-12,280000,False,https://open.spotify.com/track/0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433
